類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備考
工廠行號,金實水產公司,4-01-001,岑海里,嘉義縣布袋鎮岑海里中正路12號,"23.37820, 120.15546",地下1樓,159.0,
飯店,海王星飯店,4-01-006,興中里,嘉義縣布袋鎮興中里太平路120號,"23.37836, 120.16196",地下1樓,59.0,
工廠行號,啟台製衣廠,4-01-007,見龍里,嘉義縣布袋鎮見龍里內田180-12號,"23.37553, 120.17841",地下1樓,428.0,
政府機關,布袋鎮公所,4-01-008,興中里,嘉義縣布袋鎮興中里自由路2號,"23.37815, 120.16700",地下1樓,222.0,
圖書館,布袋鎮圖書館,4-01-009,光復里,嘉義縣布袋鎮光復里東安庄64號,"23.37609, 120.16987",地下1樓,124.0,
工廠行號,帝一嘉餐廳,4-01-010,光復里,嘉義縣布袋鎮光復里六棟寮48-6號,"23.37388, 120.17761",地上1樓,54.0,
工廠行號,崇億水產,4-01-011,岑海里,嘉義縣布袋鎮岑海里中正路6號,"23.37780, 120.15534",地下1樓,94.0,
學校,布袋鎮國中,4-01-012,光復里,嘉義縣布袋鎮光復里六棟寮40號,"23.35828, 120.18089",地下1樓,1198.0,
學校,過溝國小活動中心,4-02-002,中安里,嘉義縣布袋鎮中安里頂厝1號,"23.42012, 120.1831",地下1樓,339.0,
學校,新岑國小,4-03-001,新岑里,嘉義縣布袋鎮新岑里4號,"23.34282, 120.17445",地下1樓,309.0,
市場,"義竹鄉公所(第一市場)

鄉公所
",4-04-003,六桂村,嘉義縣義竹鄉六桂村十四鄰二三八之十三號,"23.33511, 120.24372",地下1樓,387.0,
圖書館,義竹鄉公所(圖書館),4-04-004,岸腳村,嘉義縣義竹鄉六桂村十四鄰二三八號,"23.33585, 120.24345",地下1樓,15.0,
工廠行號,太子飼料公司,4-04-006,岸腳村,嘉義縣義竹鄉岸腳村角帶圍二五之二號,"23.34661, 120.25409",地下1樓,33.0,
工廠行號,曾田香料公司,4-04-007,岸腳村,嘉義縣義竹鄉岸腳村角帶圍一之一號,"23.35536, 120.26588",地上1樓,67.0,
工廠行號,"致勝塑膠公司

花板行
",4-04-009,岸腳村,嘉義縣義竹鄉岸腳村角帶圍一之二號,"23.35384, 120.26315",地下1樓,88.0,
學校,"義竹國中
",4-04-010,岸腳村,嘉義縣義竹鄉岸腳村八鄰五九之二號,"23.34162, 120.25051",地下1樓,265.0,
農會,義竹農會(倉庫)2,4-04-011,傳芳村,嘉義縣義竹鄉傳芳村3鄰義竹449號,"23.34028, 120.24289",地上1樓,47.0,
工廠行號,建昌食品公司,4-05-003,龍蛟村,嘉義縣義竹鄉龍蛟村義工一路2-1，三路2、5號,"23.359449568047353, 120.22042496474315",地下1樓,83.0,
工廠行號,玉豐農產品,4-05-004,龍蛟村,嘉義縣義竹鄉龍蛟村義工三路8號,"23.36109, 120.21962",地上1樓,66.0,
工廠行號,玉豐糧食股份有限公司,4-05-005,龍蛟村,嘉義縣義竹鄉龍蛟村義工三路10號,"23.3610466, 120.2196853",地上1樓,161.0,
工廠行號,鋅安有限公司1,4-05-006,龍蛟村,嘉義縣義竹鄉龍蛟村義工二路15號,"23.36088, 120.22118",地上1樓,28.0,
工廠行號,鋅安有限公司2,4-05-002,龍蛟村,嘉義縣義竹鄉龍蛟村義工二路11號,"23.36048, 120.22213",地上1樓,27.0,
工廠行號,龍利興業公司,4-05-007,龍蛟村,嘉義縣義竹鄉龍蛟村義工三路1號,"23.3595503, 120.2197915",地上1樓,401.0,
工廠行號,佳滿利,4-05-008,龍蛟村,嘉義縣義竹鄉龍蛟村義工二路9號,"23.36016, 120.22247",地上1樓,61.0,
工廠行號,慶宜公司,4-05-009,龍蛟村,嘉義縣義竹鄉龍蛟村義工一路1號,"23.35824, 120.22071",地上1樓,275.0,
工廠行號,五王糧公司,4-05-011,龍蛟村,嘉義縣義竹鄉龍蛟村義工三路12號,"23.36078, 120.22001",地下1樓,56.0,
工廠行號,合騏工業1,4-05-012,龍蛟村,嘉義縣義竹鄉龍蛟村義工一路6號,"23.3585999, 120.2170414",地下1樓,50.0,
工廠行號,合騏工業2,4-05-013,龍蛟村,嘉義縣義竹鄉龍蛟村義工二路2號,"23.35972, 120.22244",地下1樓,301.0,
