建築物名稱,"電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
雙慈宮,QRA00006,大平村,屏東縣里港鄉大平村07鄰大平路50號,"22.77847686653313, 120.49343271689834",1.0,342.0,里港分局,
里港基督教老教會,QRA00007,大平村,屏東縣里港鄉大平村14鄰中山路1號,"22.775308287627183, 120.49421879540685",1.0,669.0,里港分局,
國泰人壽保險公司,QRA00002,永春村,屏東縣里港鄉永春村01鄰中山路102號,"22.7789844699846, 120.49448723085072",1.0,874.0,里港分局,
里港鄉公所,QRA00055,永春村,屏東縣里港鄉永春村01鄰中山路104號,"22.779257500310116, 120.49447842433506",1.0,689.0,里港分局,
中華電信公司/里港服務中心,QRA00005,春林村,屏東縣里港鄉春林村09鄰中山路2號,"22.773939942682972, 120.49449984053707",1.0,600.0,里港分局,
里港農會,QRA00004,春林村,屏東縣里港鄉春林村07鄰中山路24號,"22.776132801936413, 120.49453735419141",1.0,745.0,里港分局,
里港菸酒配銷處,QRA00008,春林村,屏東縣里港鄉春林村02鄰里港路136號,"22.776540394347986, 120.49652520753776",1.0,206.0,里港分局,
台電公司/里港服務所,QRA00009,春林村,屏東縣里港鄉春林村10鄰里中路24號,"22.77295260572183, 120.49531727536902",1.0,154.0,里港分局,
里港鄉立圖書館,QRA00056,過江村,屏東縣里港鄉過江村06鄰過江路43-1號,"22.78014765700338, 120.49397395494185",1.0,877.0,里港分局,
統全食品有限公司,QRA00001,載興村,屏東縣里港鄉載興村15鄰新民路11號之6,"22.77037395708181, 120.5299412970614",1.0,132.0,里港分局,
齊泰有限公司,QRA00060,載興村,屏東縣里港鄉載興村16鄰載南路17號,"22.779289700559886, 120.52991338738279",1.0,113.0,里港分局,
藍慶勳,QRA00003,玉田村,屏東縣里港鄉玉田村04鄰玉田路26號,"22.773317281529692, 120.48618222786105",1.0,173.0,里港分局,
玉田國小/教學樓,QRA00072,玉田村,屏東縣里港鄉玉田村20鄰八德路91號,"22.773877687856903, 120.49132270192274",1.0,1629.0,里港分局,共有2處、總計可容納人數2627人
玉田國小/行政樓,QRA00073,玉田村,屏東縣里港鄉玉田村20鄰八德路91號,"22.773762709683297, 120.49102891777656",1.0,998.0,里港分局,共有2處、總計可容納人數2627人
莊榮松製藥公司,QRA00010,三廍村,屏東縣里港鄉三廍村03鄰三和路119號之49,"22.805274913553248, 120.49619627689154",1.0,116.0,里港分局,
歐建宗,QRA00011,三廍村,屏東縣里港鄉三廍村03鄰三和路119號之86,"22.805443238096643, 120.49645405285217",1.0,41.0,里港分局,
莊榮松製藥公司,QRA00061,三廍村,屏東縣里港鄉三廍村03鄰三和路119號之92,"22.804745743210205, 120.49617152550573",1.0,11194.0,里港分局,
富晟企業行,QRA00078,三廍村,屏東縣里港鄉三廍村04鄰江南巷2-13號,"22.80751300552725, 120.5218305914356",1.0,264.0,里港分局,
—,QRA00012,中和村,屏東縣里港鄉中和村08鄰中南路1-6號,"22.803712625973773, 120.49674537023331",1.0,100.0,里港分局,
上芳食品有限公司,QRA00023,東寧村,屏東縣九如鄉東寧村20鄰東寧路3號,"22.736750448580647, 120.51276237161817",1.0,133.0,里港分局,
高嘉環保科技公司,QRA00021,東寧村,屏東縣九如鄉東寧村04鄰東寧路15-3號,"22.733893100115182, 120.50708811661097",1.0,36.0,里港分局,
私立明星幼稚園,QRA00014,東寧村,屏東縣九如鄉東寧村02鄰東寧路155號,"22.73386185234167, 120.49294382915507",1.0,97.0,里港分局,
九如鄉圖書館,QRA00080,東寧村,屏東縣九如鄉東寧村15鄰九如路二段264號,"22.73436438696042, 120.48944653835022",1.0,265.0,里港分局,
九如鄉公所,QRA00019,東寧村,屏東縣九如鄉東寧村17鄰九如路二段316號,"22.74044421176703, 120.49048912089395",1.0,608.0,里港分局,
保億食品公司,QRA00020,玉泉村,屏東縣九如鄉玉泉村10鄰黃金路51號,"22.73108582624993, 120.52263753607903",1.0,220.0,里港分局,
國泰皮革公司,QRA00015,大坵村,屏東縣九如鄉大坵村08鄰九如路三段30號,"22.74367073371409, 120.49070172786044",1.0,253.0,里港分局,
九如鄉公所/思親園,QRA00077,九明村,屏東縣九如鄉九明村15鄰中路21號,"22.73200103067955, 120.4793903186225",1.0,114.0,里港分局,
九如國小,QRA00060,九清村,屏東縣九如鄉九清村16鄰九如路二段3-1號,"22.726536747107016, 120.48647266401342",1.0,2310.0,里港分局,
九如果菜市場,QRA00016,九清村,屏東縣九如鄉九清村17鄰九如路二段36號之01,"22.72917608352868, 120.49029074472666",1.0,96.0,里港分局,
九如農會超市,QRA00017,九清村,屏東縣九如鄉九清村01鄰九如路二段205號之01,"22.734438019182946, 120.48904001570408",1.0,300.0,里港分局,
中華電信公司/鹽埔服務中心,QRA00027,鹽南村,屏東縣鹽埔鄉鹽南村15鄰興學路3號,"22.75434805968313, 120.57471684329822",1.0,246.0,里港分局,
台電公司/鹽埔服務所,QRA00025,鹽南村,屏東縣鹽埔鄉鹽南村01鄰興學路19號,"22.755330103422214, 120.57492706539388",1.0,176.0,里港分局,
鹽埔鄉公所,QRA00069,鹽南村,屏東縣鹽埔鄉鹽南村02鄰勝利路32號,"22.754904403322282, 120.57309870557393",1.0,1840.0,里港分局,
鹽埔鄉衛生所,QRA00070,鹽北村,屏東縣鹽埔鄉鹽北村17鄰勝利路187號,"22.76017694951112, 120.5782122661714",1.0,489.0,里港分局,
屏東縣農會/鹽埔辦事處,QRA00068,鹽中村,屏東縣鹽埔鄉鹽中村02鄰勝利路37號,"22.755140329056246, 120.5727451918265",1.0,864.0,里港分局,
—,QRA00026,鹽中村,屏東縣鹽埔鄉鹽中村16鄰民族路4號,"22.752091899232216, 120.5765332665499",1.0,60.0,里港分局,
大仁科技大學/第二宿舍,QRA00039,新二村,屏東縣鹽埔鄉新二村23鄰維新路20號,"22.727342905084527, 120.54497609682794",1.0,878.0,里港分局,共有8處、總計可容納人數19534人
大仁科技大學/R棟史懷哲大樓,QRA00040,新二村,屏東縣鹽埔鄉新二村23鄰維新路20號,"22.72748348452908, 120.54422472457917",1.0,2568.0,里港分局,共有8處、總計可容納人數19534人
大仁科技大學/I棟環工大樓,QRA00044,新二村,屏東縣鹽埔鄉新二村23鄰維新路20號,"22.727920272989778, 120.54562457176552",1.0,681.0,里港分局,共有8處、總計可容納人數19534人
大仁科技大學/A棟行政圖資大樓,QRA00062,新二村,屏東縣鹽埔鄉新二村23鄰維新路20號,"22.727331336101187, 120.54293504110397",1.2,8136.0,里港分局,共有8處、總計可容納人數19534人
大仁科技大學/S棟佳鶴樓,QRA00063,新二村,屏東縣鹽埔鄉新二村23鄰維新路20號,"22.728109148251406, 120.54649722338786",1.0,2020.0,里港分局,共有8處、總計可容納人數19534人
大仁科技大學/J棟米其林大樓,QRA00064,新二村,屏東縣鹽埔鄉新二村23鄰維新路20號,"22.726001839507216, 120.54389332786904",1.0,1100.0,里港分局,共有8處、總計可容納人數19534人
大仁科技大學/V棟達文西樓,QRA00065,新二村,屏東縣鹽埔鄉新二村23鄰維新路20號,"22.72603199300079, 120.54258929757964",1.0,3061.0,里港分局,共有8處、總計可容納人數19534人
大仁科技大學/活動中心,QRA00066,新二村,屏東縣鹽埔鄉新二村23鄰維新路20號,"22.726671915404413, 120.54306150910513",1.0,1090.0,里港分局,共有8處、總計可容納人數19534人
振聲冷凍公司,QRA00042,新二村,屏東縣鹽埔鄉新二村26鄰維新路168號之8,"22.744194783697814, 120.56002493105642",1.0,80.0,里港分局,
遠東科枝公司,QRA00030,新二村,屏東縣鹽埔鄉新二村26鄰維新路178號,"22.745094357344517, 120.56124830826003",1.0,37.0,里港分局,
天佑混凝公司,QRA00029,新二村,屏東縣鹽埔鄉新二村17鄰德協路132號,"22.72296980512034, 120.55341194555862",1.0,54.0,里港分局,
正三皮革廠,QRA00032,新二村,屏東縣鹽埔鄉新二村23鄰大仁西街55號,"22.727153973482153, 120.53140931971173",1.0,300.0,里港分局,
屏北高中/司令台,QRA00075,彭厝村,屏東縣鹽埔鄉彭厝村15鄰莒光路168號,"22.759313192133128, 120.54357494732146",1.0,121.0,里港分局,
曉城大廈,QRA00046,振興村,屏東縣鹽埔鄉振興村19鄰忠誠街30號,"22.725742204906908, 120.60811775305672",1.0,918.0,里港分局,
基督教老教會/高樹教會,QRA00050,高樹村,屏東縣高樹鄉高樹村13鄰南興路12號,"22.817816066017002, 120.60385679181012",1.0,44.0,里港分局,
中華電信公司/高樹服務中心,QRA00055,高樹村,屏東縣高樹鄉高樹村11鄰南興路74號,"22.822483594013942, 120.60202052696039",1.0,354.0,里港分局,
土地銀行/高樹分行,QRA00051,高樹村,屏東縣高樹鄉高樹村14鄰南興路99號,"22.82412850238616, 120.60124695573566",1.0,398.0,里港分局,
新美牙醫診所,QRA00049,高樹村,屏東縣高樹鄉高樹村14鄰南興路141號,"22.824230610383328, 120.60125845714661",1.0,114.0,里港分局,
高樹鄉公所,QRA00071,高樹村,屏東縣高樹鄉高樹村16鄰興中路329號,"22.826694775798007, 120.60031630078234",1.2,3288.0,里港分局,
高樹鄉圖書館,QRA00053,高樹村,屏東縣高樹鄉高樹村16鄰興中路330號,"22.826395237517335, 120.600715624354",1.0,1649.0,里港分局,
電力公司/高樹服務處,QRA00054,高樹村,屏東縣高樹鄉高樹村16鄰華光路101號,"22.825809768734022, 120.59671229967066",1.0,232.0,里港分局,
大新醫院,QRA00052,長榮村,屏東縣高樹鄉長榮村13鄰興中路208號,"22.823799484994858, 120.59957347700447",1.0,374.0,里港分局,
高樹鄉衛生所,QRA00076,長榮村,屏東縣高樹鄉長榮村09鄰南昌路12-2號,"22.81852330169091, 120.59625889372136",1.0,984.0,里港分局,
不動寺/講座寺,QRA00056,新豐村,屏東縣高樹鄉新豐村16鄰和興路26號之5,"22.863086607701042, 120.64192165599268",1.0,202.0,里港分局,共有2處、總計可容納人數322人
不動寺/禮彿寺院,QRA00057,新豐村,屏東縣高樹鄉新豐村16鄰和興路26號之5,"22.8626562926188, 120.64268584457798",1.0,120.0,里港分局,共有2處、總計可容納人數322人
宏偉食品公司,QRA00058,新南村,屏東縣高樹鄉新南村12鄰大和路1號之15,"22.785045146669084, 120.56796788689002",1.0,100.0,里港分局,
法興耐火公司,QRA00059,新南村,屏東縣高樹鄉新南村07鄰興店路6號之6,"22.783860187435398, 120.5605599237286",1.0,149.0,里港分局,
大路觀酒店,QRA00074,廣興村,屏東縣高樹鄉廣興村15鄰中正路192號,"22.739377050373573, 120.62873086144033",1.0,749.0,里港分局,
中華電信公司/泰山機房,QRA00077,泰山村,屏東縣高樹鄉泰山村17鄰三民路3-8號,"22.786354286153237, 120.61035270789186",1.0,130.0,里港分局,
