電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註,機關,所在縣市
10,甲南里,高雄市路竹區甲南里20鄰天祐路24號,22.87835,120.25402,1,146.0,鐵路警察局高雄分局,大湖車站,鐵路,高雄市
11,久堂里,高雄市大樹區久堂里3鄰久堂路鐵路巷15號,22.6585,120.4218,1,192.0,鐵路警察局高雄分局,九曲堂車站,鐵路,高雄市
1,光明里,高雄市鹽埕區光明里3鄰第三船渠北岸,22.619899,120.280686,1,74.0,高雄港務警察總隊三號碼頭中隊,,高雄港,高雄市
2,麗興里,高雄市鼓山區麗興里4鄰蓬萊路1號,22.617412,120.280503,1,90.0,高雄港務警察總隊三號碼頭中隊,,高雄港,高雄市
3,麗興里,高雄市鼓山區麗興里004鄰蓬萊路8號,22.616447,120.284843,1,66.0,高雄港務警察總隊三號碼頭中隊,,高雄港,高雄市
5,麗興里,高雄市鼓山區麗興里4鄰蓬萊路30號,22.619893,120.279017,1,106.0,高雄港務警察總隊三號碼頭中隊,,高雄港,高雄市
6,踃船頭里,高雄市鼓山區哨船頭里15鄰蓮海路1-1號,22.618239,120.266411,1,40.0,高雄港務警察總隊三號碼頭中隊,,高雄港,高雄市
7,鎮北里,高雄市前鎮區鎮北里1鄰高雄港30號碼頭,22.597381,120.296409,1,268.0,高雄港務警察總隊中島中隊,,高雄港,高雄市
8,鎮北里,高雄市前鎮區鎮北里1鄰高雄港43號碼頭,22.608566,120.283101,1,211.0,高雄港務警察總隊中島中隊,,高雄港,高雄市
9,鎮北里,高雄市前鎮區鎮北里1鄰高雄港47號碼頭,22.593993,120.291481,1,53.0,高雄港務警察總隊中島中隊,,高雄港,高雄市
10,鎮北里,高雄市前鎮區鎮北里1鄰高雄港47號碼頭,22.593993,120.291501,1,20.0,高雄港務警察總隊中島中隊,,高雄港,高雄市
11,鎮北里,高雄市前鎮區鎮北里1鄰大華三路16-1號,22.606176,120.286227,1,111.0,高雄港務警察總隊中島中隊,,高雄港,高雄市
12,鎮北里,高雄市前鎮區鎮北里1鄰高雄港47號碼頭,22.593379,120.29193,1,148.0,高雄港務警察總隊中島中隊,,高雄港,高雄市
13,鎮北里,高雄市前鎮區鎮北里1鄰大華一路32-1號,22.600738,120.293126,1,102.0,高雄港務警察總隊中島中隊,,高雄港,高雄市
13,山東里,高雄市小港區山東里中山四路2號(高雄市小港區機場段454號),22.57044941,120.3425307,地下1層,167.0,航空警察局高雄分局,,航空,高雄市
14,山東里,高雄市小港區山東里中山四路2號(高雄市小港區機場段502號),22.57055,120.3425307,地下1層,583.0,航空警察局高雄分局,,航空,高雄市
A31,後鄉里,高雄市路竹區後鄉路35號,22.84283386,120.2454583,1,9911.0,保安警察第二總隊一大二中,路科,保二,高雄市
A32,後鄉里,高雄市路竹區路科五路23號,22.83136397,120.2557108,1,3270.0,保安警察第二總隊一大二中,路科,保二,高雄市
A33,後鄉里,高雄市路竹區路科五路82號,22.83616407,120.2562137,1,4727.0,保安警察第二總隊一大二中,路科,保二,高雄市
A34,北嶺里,高雄市路竹區路科二路55號,22.82888308,120.2589865,1,3611.0,保安警察第二總隊一大二中,路科,保二,高雄市
A35,鹽田里,高雄市永安區興達路6號,22.85890082,120.2004665,1,347.0,保安警察第二總隊一大二中,興達,保二,高雄市
B1,鎮北里,高雄市前鎮區南三路4號,22.59547844,120.2936414,2,636.0,保安警察第二總隊一大三中,高雄加工區,保二,高雄市
B2,鎮北里,高雄市前鎮區南二路1號,22.5965268,120.2938623,2,3291.0,保安警察第二總隊一大三中,高雄加工區,保二,高雄市
B3,鎮北里,高雄市前鎮區北一路18號,22.60615534,120.287926,2,3830.0,保安警察第二總隊一大三中,高雄加工區,保二,高雄市
B4,鎮北里,高雄市前鎮區南四路7號,22.59383533,120.2938201,1,944.0,保安警察第二總隊一大三中,高雄加工區,保二,高雄市
B5,鎮北里,高雄市前鎮區南六路5號,22.59132801,120.295063,1,3845.0,保安警察第二總隊一大三中,高雄加工區,保二,高雄市
B6,鎮北里,高雄市前鎮區南七路2號,22.59035041,120.2964962,1,660.0,保安警察第二總隊一大三中,高雄加工區,保二,高雄市
B7,鎮北里,高雄市前鎮區中一路2號,22.60080772,120.2922398,1,177.0,保安警察第二總隊一大三中,高雄加工區,保二,高雄市
B8,瑞屏里,高雄市楠梓區經三路26號,22.72054342,120.3067936,1,966.0,保安警察第二總隊一大三中,楠梓加工區,保二,高雄市
B9,瑞屏里,高雄市楠梓區開發路47號,22.71989252,120.3003611,1,2895.0,保安警察第二總隊一大三中,楠梓加工區,保二,高雄市
B10,瑞屏里,高雄市楠梓區經六路66號,22.722122,120.3003925,1,4617.0,保安警察第二總隊一大三中,楠梓加工區,保二,高雄市
B11,瑞屏里,高雄市楠梓區內環北路107號,22.72398641,120.2998338,1,8582.0,保安警察第二總隊一大三中,楠梓加工區,保二,高雄市
B12,瑞屏里,高雄市楠梓區開發路73號,22.71985293,120.300447,1,2962.0,保安警察第二總隊一大三中,楠梓加工區,保二,高雄市
B13,瑞屏里,高雄市楠梓區中央路30號,22.72288413,120.3043595,1,6982.0,保安警察第二總隊一大三中,楠梓加工區,保二,高雄市
B14,瑞屏里,高雄市楠梓區開發路37之1號,22.72129272,120.3039807,1,4070.0,保安警察第二總隊一大三中,楠梓加工區,保二,高雄市
B15,宏榮里,高雄市楠梓區創意南路2號,22.71323524,120.3019871,1、2,11311.0,保安警察第二總隊一大三中,楠梓加工區,保二,高雄市
B16,瑞屏里,高雄市楠梓區加昌路600之11號,22.719639,120.305343,1,819.0,保安警察第二總隊一大三中,楠梓加工區,保二,高雄市
B17,宏榮里,高雄市楠梓區科技路2號及6號,22.715454224765956,120.30038418278225,3,11639.0,保安警察第二總隊一大三中,楠梓加工區,保二,高雄市
A37,北嶺里,高雄市路竹區路科一路3號,22.83108524888313,120.26309454676358,1,1607.0,保安警察第二總隊一大二中,路科,保二,高雄市
B19,瑞屏里,高雄市楠梓區經三路36號,22.722358726394148,120.30571962572814,1,1433.0,保安警察第二總隊一大三中,楠梓加工區,保二,高雄市
B20,瑞屏里,高雄市楠梓區新建南路6號,22.72307207526978,120.31065736407707,2,4207.0,保安警察第二總隊一大三中,楠梓加工區,保二,高雄市
B21,瑞屏里,高雄市楠梓區加昌路600-12號,22.720090357146077,120.30618145397264,2,1909.0,保安警察第二總隊一大三中,楠梓加工區,保二,高雄市
B22,鎮北里,高雄市前鎮區中四路6號,22.601668134998693,120.29083375092347,1,5316.0,保安警察第二總隊一大三中,前鎮科技產業園區,保二,高雄市
B18,瑞屏里,高雄市楠梓區內環西路8號,22.718192539322434,120.3007118286287,1,27.0,保安警察第二總隊一大三中,楠梓加工區,保二,高雄市
